"English" "French" "Word.type" "Example" "Translation"
"user" "utilisateur  " "noun/adjective " "éditez le dictionnaire utilisateur pour le réduire à 10.000 mots maximum " "edit the user dictionary to reduce it to at most 10,000 words "
"mandatory, compulsory" "obligatoire  " "adjective (no distinct feminine) " "la quarantaine est obligatoire " "the forty-hour work week is mandatory "
"terminal" "terminal  " "noun/adjective " "il demande une nouvelle retransmission au terminal sémaphore distant " "it requires a new retransmission to the remote signal terminal "
"to shock, offend, shake, disturb" "choquer  " "verb " "personnellement, ces mesures ne me choquent pas " "personally, these measures don't shock me "
"primary" "primaire  " "noun/adjective (no distinct feminine) " "un hôpital et une école primaire ont été détruits " "a hospital and an elementary school were destroyed "
"vital" "vital  " "adjective " "surveille les signes vitaux " "keep an eye on the vital signs "
"fate, destiny" "destinée  " "feminine noun " "notre destination, c'est aussi notre destinée " "our destination is also our destiny "
"heritage, assets" "patrimoine  " "masculine noun " "vous voulez protéger une partie de votre patrimoine " "you want to protect a part of your heritage "
"conform" "conforme  " "adjective (no distinct feminine) " "la construction était conforme aux plans produits " "the construction followed the specifications "
"assistant, deputy" "adjoint  " "noun/adjective " "choisissez un adjoint. deux, si besoin est " "choose an assistant. two if there's a need "
"ultimate" "ultime  " "adjective (no distinct feminine) " "cette station est à présent l'ultime puissance de l'univers " "this station is currently the ultimate power of the universe "
"integration" "intégration  " "feminine noun " "les immigrants ont payé leur intégration au prix fort " "the immigrants paid dearly for their integration "
"rarely, seldom" "rarement  " "adverb " "ma mère me punissait rarement " "my mother rarely punished me "
"to flow, run, sink" "couler  " "verb " "elle regardait silencieusement couler ces larmes " "she watched tears flow silently "
"diversity" "diversité  " "feminine noun " "la richesse de la France, c'est sa diversité culturelle " "France's richness is its cultural diversity "
"to amuse" "amuser  " "verb " "il faut s'amuser un peu dans la vie " "you have to have a little fun in life "
"complementary, supplementary" "complémentaire  " "adjective (no distinct feminine) " "j'ai des informations additionnelles et complémentaires à fournir " "I have additional and complementary information to present "
"satisfactory, satisfying" "satisfaisant  " "adjective " "je ne trouvais pas d'emploi satisfaisant en région " "I wasn't finding any satisfying work in the area "
"welcome, reception" "accueil  " "masculine noun " "l'émission a reçu un très bon accueil " "the broadcast was very well received "
"truck" "camion  " "masculine noun " "ils ont trouvé le camion stationné à l'extérieur " "they found the truck parked outside "
"painful, grievous, distressing" "douloureux  " "adjective (no distinct plural) " "les témoignages étaient douloureux à entendre " "the testimony was sometimes painful to listen to "
"to slide, slip" "glisser  " "verb " "il glisse sa main dans sa poche " "he slips his hand into his pocket "
"priest" "prêtre  " "masculine noun " "le prêtre lève alors les bras au ciel " "then the priest raises his arms to the heavens "
"indication" "indication  " "feminine noun " "suis mes indications à la lettre " "follow my instructions precisely "
"to exaggerate, overdo" "exagérer  " "verb " "peut-être a-t-on tout simplement exagéré " "maybe we just exaggerated "
"death" "décès  " "masculine noun (no distinct plural) " "le suicide est une forme de décès " "suicide is a form of death "
"Parisian" "parisien  " "noun/adjective " "ils vivent en France, banlieue parisienne " "they live in France, in the Paris suburbs "
"psychological" "psychologique  " "adjective (no distinct feminine) " "son état était psychologique, pas physique " "his condition was psychological, not physical "
"to review, revise, overhaul" "réviser  " "verb " "j'ai révisé votre plan de vol " "I revised your flight plan "
"profile, outline, contour" "profil  " "masculine noun " "il n'a pas le profil du Père Noël " "he doesn't have the profile of Santa Claus "
"to miss, misfire" "rater  " "verb " "vous avez raté tout l'opéra " "you missed the whole opera "
"respective" "respectif  " "adjective " "nous ne parlerons plus de nos amours respectives " "we will no longer speak of our respective loves "
"quiet" "tranquille  " "adjective (no distinct feminine) " "laisse-le tranquille, reste tranquille " "leave it alone, settle down "
"log, register, registry" "registre  " "masculine noun " "nous avons réclamé un registre des délinquants sexuels " "we have called for a sexual offenders registry "
"contemporary" "contemporain  " "noun/adjective " "ce n'était pas un langage contemporain " "it wasn't a modern language "
"exclusive, sole" "exclusif  " "noun/adjective " "je suis son amour exclusif " "I'm his only love "
"performance" "performance  " "feminine noun " "la performance d'hier est simplement fa-buleu-se " "yesterday's performance was simply fabu-lous! "
"angle, point of view" "angle  " "masculine noun " "on a fait l'analyse sous deux angles " "the analysis was made from two angles "
"divorce" "divorce  " "masculine noun " "70 % des divorces sont motivés par la toxicomanie du conjoint " "70% of divorces are caused by drug addiction "
"closing" "fermeture  " "feminine noun " "c'est l'heure de fermeture. la piscine est fermée " "it's closing time. the pool's closed "
"to weaken" "affaiblir  " "verb " "il ne mange rien, il s'affaiblit " "he's not eating anything, he's weakening "
"constantly, continuously, consistent" "constamment  " "adverb " "notre corps bouge constamment " "our body moves constantly "
"horror" "horreur  " "feminine noun " "j'ai horreur des silences pesants " "I abhor pregnant silence "
"to invade, overrun" "envahir  " "verb " "un désespoir sinistre envahissait son esprit " "a dark despair invaded her mind "
"oil; oil tanker" "pétrolier  " "noun/adjective " "des dizaines de sites pétroliers sont occupés " "dozens of oil rigs have been occupied "
"ability, right, option; faculty, university" "faculté  " "feminine noun " "sa faculté de travail est énorme " "his capacity for work is enormous "
"brilliant" "brillant  " "adjective,masculine noun " "en plus, c'est une personnalité brillante, intelligente, sympathique " "moreover, he's a brilliant, intelligent, likable person "
"pact, treaty" "pacte  " "masculine noun " "il y avait un pacte entre nous " "there was a pact between us "
"suspicious, suspect" "suspect  " "noun/adjective " "les suspects sont armés et très dangereux " "the suspects are armed and very dangerous "
"slow" "lent  " "adjective " "un prêtre s'avance à pas lents " "a priest walked slowly forward "
"attendance, assistance" "assistance  " "feminine noun " "il a été chaudement applaudi par l'assistance " "he was warmly applauded by the audience "
"to neglect" "négliger  " "verb " "il ne faut négliger absolument aucun détail " "absolutely no detail must be overlooked "
"unfair, unjust" "injuste  " "adjective (no distinct feminine) " "ce qui leur arrive ainsi est injuste " "what happens to them is unjust "
"to plead" "plaider  " "verb " "il vous a envoyé plaider sa cause? " "he sent you to plead his case? "
"to reward, recompense" "récompenser  " "verb " "il récompensait mes efforts d'un compliment " "he rewarded my efforts with a compliment "
"deletion, suppression" "suppression  " "feminine noun " "Lucent avait annoncé la suppression de 900 emplois " "Lucent announced a reduction of 900 jobs "
"cut, cutting" "coupure  " "feminine noun " "il y a eu une coupure de courant " "there was a power blackout "
"ice, ice cream; mirror" "glace  " "feminine noun " "j'aime manger des glaces " "I like eating ice cream cones "
"station, railway station; beware" "gare  " "interjection,feminine noun " "on retrouve le mec à la gare " "the guy was found at the train station "
"flag" "drapeau  " "masculine noun " "le drapeau est plus qu'un simple bout de tissu " "the flag is more than a simple piece of cloth "
"to repair, fix, correct, make up" "réparer  " "verb " "il est plombier. il répare les conduites d'eau " "he's a plumber--he repairs water pipes "
"sensitivity, sensibility" "sensibilité  " "feminine noun " "mettons ta sensibilité à l'épreuve " "let's put your good sense to the test "
"yellow" "jaune  " "adverb,noun/adjective (no distinct feminine) " "ils regardent avec confiance les murs jaunes " "they look confidently at the yellow walls "
"existing" "existant  " "adjective " "cela constitue une atteinte aux traités existants " "this is an attack on existing treaties "
"prosecutor" "procureur  " "masculine noun " "Michael était procureur adjoint, à l'époque " "Michael was a deputy prosecutor at the time "
"computer science, computing" "informatique  " "noun/adjective (no distinct feminine) " "je veux faire mon bac en informatique " "I want to get a bachelor's degree in computer science "
